sampleID	Year	Month	Day	Hour	LineID	LineName	WRCNo	SubSpcies	RnaExtractionDate	DailySampleNo	TecanConc	RIN	"rRNA
ratio"	ErrorConditionChange	Replicate	AfterLightInduction
T14	-	-	-	-	Takanari	Takanari	-	-	-	-	273	-	-	-	3	1
T15	-	-	-	-	Takanari	Takanari	-	-	-	-	258	-	-	-	3	5
T16	-	-	-	-	Takanari	Takanari	-	-	-	-	344	-	-	-	3	30
T17	-	-	-	-	Takanari	Takanari	-	-	-	-	126	-	-	-	3	10
T18	-	-	-	-	Takanari	Takanari	-	-	-	-	195	-	-	-	3	60
T19	-	-	-	-	Takanari	Takanari	-	-	-	-	154	-	-	-	4	0
T20	-	-	-	-	Takanari	Takanari	-	-	-	-	160	-	-	-	4	1
T21	-	-	-	-	Takanari	Takanari	-	-	-	-	182	-	-	-	4	5
T22	-	-	-	-	Takanari	Takanari	-	-	-	-	258	-	-	-	4	30
T23	-	-	-	-	Takanari	Takanari	-	-	-	-	191	-	-	-	4	10
T24	-	-	-	-	Takanari	Takanari	-	-	-	-	303	-	-	-	4	60
T25	-	-	-	-	Takanari	Takanari	-	-	-	-	170	-	-	-	5	0
T26	-	-	-	-	Takanari	Takanari	-	-	-	-	199	-	-	-	5	1
T27	-	-	-	-	Takanari	Takanari	-	-	-	-	137	-	-	-	5	5
T28	-	-	-	-	Takanari	Takanari	-	-	-	-	219	-	-	-	5	30
T29	-	-	-	-	Takanari	Takanari	-	-	-	-	164	-	-	-	5	10
T30	-	-	-	-	Takanari	Takanari	-	-	-	-	153	-	-	-	5	60
T31	-	-	-	-	Takanari	Takanari	-	-	-	-	111	-	-	-	6	0
T32	-	-	-	-	Takanari	Takanari	-	-	-	-	469	-	-	-	6	1
T33	-	-	-	-	Takanari	Takanari	-	-	-	-	227	-	-	-	6	5
T34	-	-	-	-	Takanari	Takanari	-	-	-	-	213	-	-	-	6	30
T35	-	-	-	-	Takanari	Takanari	-	-	-	-	182	-	-	-	6	10
T36	-	-	-	-	Takanari	Takanari	-	-	-	-	222	-	-	-	6	60
T37	-	-	-	-	Takanari	Takanari	-	-	-	-	148	-	-	-	7	0
T38	-	-	-	-	Takanari	Takanari	-	-	-	-	199	-	-	-	7	1
T39	-	-	-	-	Takanari	Takanari	-	-	-	-	247	-	-	-	7	5
T40	-	-	-	-	Takanari	Takanari	-	-	-	-	402	-	-	-	7	30
T41	-	-	-	-	Takanari	Takanari	-	-	-	-	324	-	-	-	7	10
T42	-	-	-	-	Takanari	Takanari	-	-	-	-	226	-	-	-	7	60
T43	-	-	-	-	Takanari	Takanari	-	-	-	-	215	-	-	-	8	0
T44	-	-	-	-	Takanari	Takanari	-	-	-	-	209	-	-	-	8	1
T45	-	-	-	-	Takanari	Takanari	-	-	-	-	154	-	-	-	8	5
T46	-	-	-	-	Takanari	Takanari	-	-	-	-	138	-	-	-	8	30
T47	-	-	-	-	Takanari	Takanari	-	-	-	-	243	-	-	-	8	10
T48	-	-	-	-	Takanari	Takanari	-	-	-	-	200	-	-	-	8	60
